GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CodeScreen_yrnx3ahb,dev.codescreen.model,AuthorizationRequest,30,48,6,6,0,6,6,8,0,8
CodeScreen_yrnx3ahb,dev.codescreen.model,LoadResponse,51,27,9,3,2,4,10,4,4,4
CodeScreen_yrnx3ahb,dev.codescreen.model,Amount,52,48,6,6,1,6,7,8,1,8
CodeScreen_yrnx3ahb,dev.codescreen.model,DebitCredit,0,24,0,0,0,3,0,1,0,1
CodeScreen_yrnx3ahb,dev.codescreen.model,LoadRequest,30,48,6,6,0,6,6,8,0,8
CodeScreen_yrnx3ahb,dev.codescreen.model,ResponseCode,0,28,0,0,0,4,0,2,0,2
CodeScreen_yrnx3ahb,dev.codescreen.model,AuthorizationResponse,88,33,15,3,3,5,15,5,6,5
CodeScreen_yrnx3ahb,dev.codescreen.model,Ping,4,9,0,0,1,2,1,2,1,2
CodeScreen_yrnx3ahb,dev.codescreen,TransactionServiceApplication,5,3,0,0,2,1,1,1,1,1
CodeScreen_yrnx3ahb,dev.codescreen.store,UserStore,7,116,0,4,2,19,1,6,1,4
CodeScreen_yrnx3ahb,dev.codescreen.store,UnprocessedMessageQueue,0,23,0,0,0,6,0,4,0,4
CodeScreen_yrnx3ahb,dev.codescreen.store,ProcessedMessageStore,0,21,0,0,0,5,0,3,0,3
CodeScreen_yrnx3ahb,dev.codescreen.exception,TransactionServiceException,0,16,0,0,0,6,0,3,0,3
CodeScreen_yrnx3ahb,dev.codescreen.exception,TransactionError,0,69,0,0,0,8,0,4,0,4
CodeScreen_yrnx3ahb,dev.codescreen.service,LoadService,4,53,0,2,2,19,0,3,0,2
CodeScreen_yrnx3ahb,dev.codescreen.service,UnprocessedMessageQueueConsumerService,5,108,2,8,1,32,2,8,0,5
CodeScreen_yrnx3ahb,dev.codescreen.service,AuthorizationService,4,78,1,7,2,25,1,5,0,2
CodeScreen_yrnx3ahb,dev.codescreen.controller,AuthorizationController,0,32,0,2,0,11,0,3,0,2
CodeScreen_yrnx3ahb,dev.codescreen.controller,LoadController,0,21,0,0,0,7,0,2,0,2
CodeScreen_yrnx3ahb,dev.codescreen.controller,PingController,0,11,0,0,0,3,0,2,0,2
CodeScreen_yrnx3ahb,dev.codescreen.store.entity,ProcessedMessage,121,43,15,5,4,5,14,5,4,5
CodeScreen_yrnx3ahb,dev.codescreen.store.entity,User,7,16,0,0,1,3,2,3,2,3
CodeScreen_yrnx3ahb,dev.codescreen.store.entity,UnprocessedMessage,37,27,3,3,1,4,4,4,1,4
